Tabella 1
Fabio;META;Ris;Bibtex;citeproc;schemaOrg;resourceTypeGeneral;Dublin Core;PubMed
fabio:Book: A non-serial document that is complete in one volume or a designated finite number of volumes. A book published by a publisher is usually identified by an International Standard Book Number (ISBN), and may be manifested as a physical printed publication on paper bound in a hard or soft cover, or in electronic format as an ‘e-book'.;Edited book :  A non-serial document that is complete in one volume or a designated finite number of volumes. A book published by a publisher is usually identified by an International Standard Book Number (ISBN), and may be manifested as a physical printed publication on paper bound in a hard or soft cover, or in electronic format as an ‘e-book'.;;;;;;;
Journal article : An article, typically the realization of a research paper reporting original research findings, published in a journal issue.;Journal article : An article, typically the realization of a research paper reporting original research findings, published in a journal issue.;JOUR √ (journal/periodical reference) MGZN (magazine article) ;"article √ : An article from a journal or magazine.
";"article-journal √ : An article published in an academic journal
";"""ScholarlyArticle""√ (Thing > CreativeWork > Article > ScholarlyArticle) ""Article"" √ (Thing > CreativeWork > Article ) — An article, such as a news article or piece of investigative report. Newspapers and magazines have articles of many different types and this is intended to cover them all. ";Text / JournalArticle (introdotto in versione 4.4 marzo 2021). A written composition on a topic of interest, which forms a separate part of a journal.;Text;"Introductory Journal Article: Prefatory summary to a special issue or section of a journal devoted to a specific topic. This introductory text can be of varying length and substance.
 Journal Article (Default value when no more descriptive PT is provided or assigned): The predominant publication type for articles and other items indexed for NLM databases. Classical Article: Works consisting of a current presentation of a previously printed seminal article marking a milestone in the history of medicine or science. It is usually accompanied by introductory remarks heralding its reprinting, often on the anniversary of its original publication or on an anniversary of the author's birth or death. It is usually reprinted in full, with complete bibliographical reference to the original appearance. Corrected and Republished Article: Work that is the republication of an article to correct, amplify, or restore text and data of the originally published article. Historical Article: An article or portion of an article giving an account of past events or circumstances significant in a field of study, a profession, a discovery, an invention, etc. The concept of history is very wide, ranging from the dawn of time to the present. This publication type is often checked in conjunction with BIOGRAPHY.
"
fabio:Book: A non-serial document that is complete in one volume or a designated finite number of volumes. A book published by a publisher is usually identified by an International Standard Book Number (ISBN), and may be manifested as a physical printed publication on paper bound in a hard or soft cover, or in electronic format as an ‘e-book'.;Monograph: Books can be registered as a monograph, series, or set. a book is single book (monograph) that is not part of a series or a set. ;;;;;;;
;Other ;GEN √ (generic) ADVS (audiovisual material)  // VIDEO (video recording)  UNPB (unpublished work reference) CTLG (catalog) ART (art work) CASE (case) ICOMM (internet communication) INPR (in press reference) MAP (map) MPCT √ (motion picture) MUSIC (music score) PAMP (pamphlet) PAT (patent) PCOMM (personal communication) CATALOG ELEC (electronic citation) HEAR (hearing) STAT (statute BILL (bill/resolution) UNBILL (unenacted bill/resolution);Misc: Use this type when nothing else fits. A warning will be issued if all optional fields are empty (i.e., the entire entry is empty or has only ignored fields). Unpublished: A document having an author and title, but not formally published.;"article √ A self-contained work made widely available but not published in a journal or other publication; Use for preprints, working papers, and similar works posted on a platform where some level of persistence or stewardship is expected (e.g. arXiv or other preprint repositories, working paper series); For unpublished works not made widely available or only hosted on personal websites, use manuscript ";"”CreativeWork” √ (Thing > CreativeWork) “Event"" √ (Thing > Event) Service √: Thing > Intangible > Service A service provided by an organization, e.g. delivery service, print services, etc. Thing > CreativeWork > MediaObject √";Other. If selected, supply a value for ResourceType.  DataPaper : A factual and objective publication with a focused intent to identify and describe specific data, sets of data, or data collections to facilitate discoverability. A data paper describes data provenance and methodologies used in the gathering, processing, organizing, and representing the data (work). Audiovisual: A series of visual representations imparting an impression of motion when shown in succession. May or may not include sound. (Movie in fabio) InteractiveResource. A resource requiring interaction from the user to be understood, executed, or experienced. Training modules, files that require use of a viewer (e.g., Flash), or query/response portals. PhysicalObject. An inanimate, three-dimensional object or substance Artifacts, specimens Event. A non-persistent, time-based occurrence. Descriptive information and/or content that is the basis for discovery of the purpose, location, duration, and responsible agents associated with an event such as a webcast or convention Service.  An organized system of apparatus, appliances, staff, etc., for supplying some function(s) required by end users Data management service, or long-term preservation service Text. A resource consisting primarily of words for reading that is not covered by any other textual resource type in this list;MovingImage InteractiveResource PhysicalObject Event Service;"Letter: Work consisting of written or printed communication between individuals or between persons and representatives of corporate bodies. The correspondence may be personal or professional. In medical and other scientific publications the letter is usually from one or more authors to the editor of the journal or book publishing the item being commented upon or discussed. LETTER is often accompanied by COMMENT. Legislation: Works consisting of the text of proposed or enacted legislation that may be in the form of bills, laws, statutes, ordinances, or government regulations. Video-Audio Media: Used with articles which include video files or clips, or for articles which are entirely video.   Webcast:  Content from transmission of live or pre-recorded audio or video via connection or download from the INTERNET. Electronic Supplementary Materials: Supporting content or information, such as animation, datasets, multimedia files, video, movies, audio files, text files, or software, which is submitted for publication in an online journal or an online edition of a journal. This information may be referenced in the text of the article with a link to the supplementary data provided. CATALOG: do not use.  Duplicate Publication: Work consisting of an article or book of identical or nearly identical material published simultaneously or successively to material previously published elsewhere, without acknowledgment of the prior publication. Retracted Publication: Work consisting of the designation of an article or book as retracted in whole or in part by an author or authors or an authorized representative. It identifies a citation previously published and now retracted through a formal issuance from the author, publisher, or other authorized agent, and is distinguished from RETRACTION OF PUBLICATION, which identifies the citation retracting the original published item.  Expression of Concern: A notification about the integrity of a published article that is typically written by an editor and should be labelled prominently in the item title. It is the responsibility of the editor to initiate appropriate investigative procedures, discover the outcome of the investigation, and notify readers of that outcome in a subsequent published item. The outcome may require the publication of a retraction notice. Government Publication: Work consisting of publications issued by local, regional, or national governments or by their agencies or subdivisions. Interview: Work consisting of a conversation with an individual regarding his or her background and other personal and professional details, opinions on specific subjects posed by the interviewer, etc. Lecture: Work consisting of speeches read or delivered before an audience or class, especially for instruction or to set forth some subject. They are differentiated from an ADDRESS which are less didactic and more informational, entertaining, inspirational, or polemic. (From Random House Unabridged Dictionary, 2d ed).  Meta-Analysis: Works consisting of studies using a quantitative method of combining the results of independent studies (usually drawn from the published literature) and synthesizing summaries and conclusions which may be used to evaluate therapeutic effectiveness, plan new studies, etc. It is often an overview of clinical trials. It is usually called a meta-analysis by the author or sponsoring body and should be differentiated from reviews of literature. News: Works consisting of an announcement or statement of recent or current events of new data and matters of interest in the field of medicine or science. In some publications, such as ""Nature"" or ""Science,"" the news reports are substantively written and herald medical and scientific data of vital or controversial importance. 
Personal Narrative: Work consisting of accounts of individual experience in relation to a particular field or of participation in related activities. Autobiography: Self-described narratives of a person's life. Biography: Works consisting of an account of the events, works, and achievements, personal and professional, during a person's life.  Address : Work consisting of speeches, orations, or written statements, usually formal, directed to a particular group of persons. These are different from a LECTURE that is usually delivered to classes for instructional purposes. Interactive Tutorial: Video recordings or other files in which the progress of the instruction or content is determined by user response. Published Erratum: Work consisting of an acknowledgment of an error, issued by a publisher, editor, or author. It customarily cites the source where the error occurred, giving complete bibliographic data for retrieval. In the case of books and monographs, author, title, imprint, paging, and other helpful references will be given; in the case of journal articles, the author, title, paging, and journal reference will be shown. An erratum notice is variously cited as Errata or Corrigenda. Guideline: Work consisting of a set of statements, directions, or principles presenting current or future rules or policy. Guidelines may be developed by government agencies at any level, institutions, organizations such as professional societies or governing boards, or by the convening of expert panels. The text may be cursive or in outline form, but it is generally a comprehensive guide to problems and approaches in any discipline or activity. This concept relates to the general conduct and administration of health care activities rather than to specific decisions for a particular clinical condition. For that aspect, PRACTICE GUIDELINE is available. Patient Education Handout: Works consisting of a handout or self-contained informative material used to explain a procedure or a condition or the contents of a specific article in a biomedical journal and written in non-technical language for the patient or consumer. Practice Guideline: Work consisting of a set of directions or principles to assist the health care practitioner with patient care decisions about appropriate diagnostic, therapeutic, or other clinical procedures for specific clinical circumstances. Practice guidelines may be developed by government agencies at any level, institutions, organizations such as professional societies or governing boards, or by the convening of expert panels. They can provide a foundation for assessing and evaluating the quality and effectiveness of health care in terms of measuring improved health, reduction of variation in services or procedures performed, and reduction of variation in outcomes of health care delivered. "
fr:ReviewVersion: A version of a given review, defining its content and rating, which may vary over the time.;Peer review: any number of reviews, reports, or comments attached to any other work that has been registered with Crossref.;;;;"""Review"" (Thing > CreativeWork > Review ) - A review of an item - for example, of a restaurant, movie, or store.
";PeerReview. Evaluation of scientific, academic, or professional work by others working in the same field;Text;Systematic Review: A review of primary literature in health and health policy that attempts to identify, appraise, and synthesize all the empirical evidence that meets specified eligibility criteria to answer a given research question.  Its conduct uses explicit methods aimed at minimizing bias in order to produce more reliable findings regarding the effects of interventions for prevention, treatment, and rehabilitation that can be used to inform decision making. Scientific Integrity Review: Work consisting of reports by the United States Office of Research Integrity, identifying questionable research published in articles or books. Notification of the questionable data is carried in the NIH Guide for Grants and Contracts. Review: An article or book published after examination of published material on a subject. It may be comprehensive to various degrees and the time range of material scrutinized may be broad or narrow, but the reviews most often desired are reviews of the current literature. The textual material examined may be equally broad and can encompass, in medicine specifically, clinical material as well as experimental research or case reports. State-of-the-art reviews tend to address more current matters. A review of the literature must be differentiated from HISTORICAL ARTICLE on the same subject, but a review of historical literature is also within the scope of this publication type. Comment: Work consisting of a critical or explanatory note written to discuss, support, or dispute an article or other presentation previously published. It may take the form of an article, letter, editorial, etc. It appears in publications under a variety of names: comment, commentary, editorial comment, viewpoint, etc.
"fabio:WebContent : Information prepared specifically and primarily for manifestation in a web page, comprising text, images, datasets and/or other works.
";Posted content(or web content) : Posted content includes preprints, eprints, working papers, reports, dissertations, and many other types of content that has been posted but not formally published. Note that accepted manuscripts are not considered posted content. To qualify as posted content, an item must be posted to a host platform where it will receive some level of stewardship. We’re all about persistence, so it’s vital that everything registered with us be maintained. A preprint should remain online once it has been posted, including once it has appeared in a journal or if an updated version becomes available. If different versions become available, the preprint owner should update the preprint metadata using relations tags. In exceptional cases where a preprint is removed, such as in the case of plagiarism or other misconduct, we recommend that the DOI resolves to a page containing at least the title, authors, and a short explanation of the removal. Preprint owners should refer to good practice for journal article retraction in this case. Note that we cannot remove preprint metadata from our records.;;;post-weblog √: a blog post;"“BlogPosting"" √ (Thing > CreativeWork > Article > SocialMediaPosting > BlogPosting)";;;
fabio:ProceedingsPaper: A paper, typically the realization of a research paper reporting original research findings, usually published within an academic proceedings volume.;Proceedings article;;Inproceedings: An article in a conference proceedings.;Paper-conference √: A paper formally published in conference proceedings. For papers presented at a conference, but not published in a proceedings, use speech;;ConferencePaper:Article that is written with the goal of being accepted to a conference;;
fabio:ReportDocument the realization of a report, usually in printed form, where Report: A formal factual, methodological, statistical, technical or research report issued by an individual, group, agency, government body or other institution.;Report: A formal factual, methodological, statistical, technical or research report issued by an individual, group, agency, government body or other institution.;RPRT √ (report) ;Techreport: A report published by a school or other institution, usually numbered within a series.;"report √ A technical report, government report, white paper, brief, or similar work distributed by an institution; Also used for manuals and similar technical documentation (e.g. a software, instrument, or test manual); If a container-title is present, the item is interpreted as a chapter contained within a larger report";"""Report"" √(Thing > CreativeWork > Article > Report)";Report. A document that presents information in an organized format for a specific audience and purpose;;"Technical Report: Work consisting of a formal report giving details of the investigation and results of a medical or other scientific problem. When issued by a government agency or comparable official body, its contents may be classified, unclassified, or declassified with regard to security clearance. This publication type may also cover a scientific paper or article that records the current state or current position of scientific research and development. If so labeled by the editor or publisher, this publication type may be properly used for journal articles.                   Case Reports: Clinical presentations that may be followed by evaluative studies that eventually lead to a diagnosis.

Clinical Study: A work that reports on the results of a research study to evaluate interventions or exposures on biomedical or health-related outcomes.  The two main types of clinical studies are interventional studies (clinical trials) and observational studies. While most clinical studies concern humans, this publication type may be used for clinical veterinary articles meeting the requisites for humans. Clinical Trial: A work that reports on the results of a clinical study in which participants are assigned to receive one or more interventions so that researchers can evaluate the interventions on biomedical or health-related outcomes. The assignments are determined by the study protocol. Participants may receive diagnostic, therapeutic, or other types of interventions. For clinical trials on  veterinary animals see CLINICAL TRIAL, VETERINARY. Clinical Trials was used for both humans and non-humans prior to 2019. Clinical Trial Protocol: The written description of a clinical study. It contains the study's objectives, design, and methods including subject target and/or enrollment criteria. It may also present relevant scientific background and statistical information.
Pragmatic Clinical Trial: Randomized clinical trials that compare interventions in clinical settings and which look at a range of effectiveness outcomes and impacts.
Clinical Trial, Phase I: Work that is the report of a pre-planned, usually controlled, clinical study of the safety and efficacy of diagnostic, therapeutic, or prophylactic drugs, devices, or techniques based on a small number of healthy persons and conducted over the period of about a year in either the United States or a foreign country.

Clinical Trial, Phase II : Work that is a report of a pre-planned, usually controlled, clinical study of the safety and efficacy of diagnostic, therapeutic, or prophylactic drugs, devices, or techniques based on several hundred volunteers, including a limited number of patients, and conducted over a period of about two years in either the United States or a foreign country.

Clinical Trial, Phase III: Work that is a report of a pre-planned, usually controlled, clinical study of the safety and efficacy of diagnostic, therapeutic, or prophylactic drugs, devices, or techniques after phase II trials. A large enough group of patients is studied and closely monitored by physicians for adverse response to long-term exposure, over a period of about three years in either the United States or a foreign country.

Clinical Trial, Phase IV: Work that is a report of a planned post-marketing study of diagnostic, therapeutic, or prophylactic drugs, devices, or techniques that have been approved for general sale after clinical trials, phases I, II, and III. These studies, conducted in the United States or a foreign country, often garner additional data about the safety and efficacy of a product.   Clinical Trial, Veterinary: A work that reports on the results of a clinical study in which participants are assigned to receive one or more interventions so that researchers can evaluate the interventions on biomedical or health-related outcomes. The assignments are determined by the study protocol. Participants may receive diagnostic, therapeutic, or other types of interventions. For clinical trials on  veterinary animals see CLINICAL TRIAL, VETERINARY. Clinical Trials was used for both humans and non-humans prior to 2019. Controlled Clinical Trial: A work that reports on a clinical trial involving one or more test treatments, at least one control treatment, specified outcome measures for evaluating the studied intervention, and a bias-free method for assigning patients to the test treatment. The treatment may be drugs, devices, or procedures studied for diagnostic, therapeutic, or prophylactic effectiveness. Control measures include placebos, active medicine, no-treatment, dosage forms and regimens, historical comparisons, etc. When randomization using mathematical techniques, such as the use of a random numbers table, is employed to assign patients to test or control treatments, the trial is characterized as a RANDOMIZED CONTROLLED TRIAL. Equivalence Trial: Trial that aims to show a new treatment is no better and no worse than the standard treatment.

Evaluation Study: Works consisting of studies determining the effectiveness or utility of processes, personnel, and equipment. Multicenter Study: A work that reports on a study executed by several cooperating institutions. Observational Study: A work that reports on the results of a clinical study in which participants may receive diagnostic, therapeutic, or other types of interventions, but the investigator does not assign participants to specific interventions (as in an interventional study). Observational Study, Veterinary: Reports on studies of the results of a clinical study in which animal subjects may receive diagnostic, therapeutic, or other types of interventions, where the investigator does not assign participants to specific interventions.  Randomized Controlled Trial: A work that reports on a clinical trial that involves at least one test treatment and one control treatment, concurrent enrollment and follow-up of the test- and control-treated groups, and in which the treatments to be administered are selected by a random process, such as the use of a random-numbers table. Randomized Controlled Trial, Veterinary: A work that reports on a clinical trial with animal subjects that involves at least one test treatment and one control treatment, concurrent enrollment and follow-up of the test- and control-treated groups, and in which the treatments to be administered are selected by a random process, such as the use of a random-numbers table.  Twin Study: Work consisting of reporting using a method of detecting genetic causes in human traits and genetic factors in behavior using sets of twins. Validation Study: Works consisting of research using processes by which the reliability and relevance of a procedure for a specific purpose are established Adaptive Clinical Trial : Clinical study in which a prospectively planned opportunity is included to modify trial designs and hypotheses based on analysis of data from subjects in the study. Comparative Study: Comparison of outcomes, results, responses, etc for different techniques, therapeutic approaches or other inputs."
Referenence book: A book containing authoritative factual information, such as a dictionary, encyclopaedia, handbook or field guide, which is a realisation of a certain reference work and may contain several reference entries.;Referenence book: A book containing authoritative factual information, such as a dictionary, encyclopaedia, handbook or field guide, which is a realisation of a certain reference work and may contain several reference entries.;;;;;;;
Book chapter: A defined chapter of a book, usually with a separate title or number.;Book chapter: A defined chapter of a book, usually with a separate title or number.;CHAP √ (book chapter reference);inbook: A part of a book, e.g., a chpater, section, or whatever and/or a range of pages. ;"chapter: √  A part of a book cited separately from the book as a whole (e.g. a chapter in an edited book);
Also used for introductions, forewords, and similar supplemental components of a book";"“Chapter"" √ (Thing > CreativeWork > Chapter)";BookChapter: One of the main divisions of a book.;Text;
"doco:Part, part of a fabio:Book : A container of a semantic subdivision of a document. For example, chapters of a novel may be grouped into distinct parts that may be named 'Part 1', 'Part 2', etc., 'Book 1', 'Book 2', etc., or 'Genesis', 'Exodus', etc.
";"Book part :  A container of a semantic subdivision of a document. For example, chapters of a novel may be grouped into distinct parts that may be named 'Part 1', 'Part 2', etc., 'Book 1', 'Book 2', etc., or 'Genesis', 'Exodus', etc.
";;incollection :  A part of a book having its own title.;;;;;
fabio:ExpressionCollection, part of a fabio:Book. A collection of expressions, for example a periodical or a book series.;Book section: part of a fabio:Book. A collection of expressions, for example a periodical or a book series.;;;;;;;
fabio:Expression: A subclass of FRBR expression, restricted to expressions of fabio:Works. For your latest research paper, the preprint submitted to the publisher, and the final published version to which the publisher assigned a unique digital object identifier, are both expressions of the same work.;Book track: A subclass of FRBR expression, restricted to expressions of fabio:Works. For your latest research paper, the preprint submitted to the publisher, and the final published version to which the publisher assigned a unique digital object identifier, are both expressions of the same work.;;;;;;;
fabio:Expression: A subclass of FRBR expression, restricted to expressions of fabio:Works. For your latest research paper, the preprint submitted to the publisher, and the final published version to which the publisher assigned a unique digital object identifier, are both expressions of the same work.;Component: Component records are often registered for figures, tables, and supplemental materials associated with a journal article.;;;;;;;
Reference entry : A particular reference entry containing authoritative factual information on a certain topic, usually contained in a larger expression.;"Reference entry : A particular reference entry containing authoritative factual information on a certain topic, usually contained in a larger expression.

";;;;;;;
Book series : A sequence of books having certain characteristics in common that are formally identified together as a group - for instance, the books in the Law, Governance and Technology Series published by Springer.;Book series : A sequence of books having certain characteristics in common that are formally identified together as a group - for instance, the books in the Law, Governance and Technology Series published by Springer.;SER (serial - book, monograph) ;;;;;;Periodical Index: Work consisting of a subject approach to the contents of a periodical issuing an annual, biennial, quinquennial, decennial, etc., index. The heading is used for the overall body of articles published by a periodical in the same sense that BIBLIOGRAPHY is useful when published as a single article.
Book set : A set of books having certain characteristics in common that informally allow their identification together as a group - for instance, the books of the Harry Potter saga.;Book set : A set of books having certain characteristics in common that informally allow their identification together as a group - for instance, the books of the Harry Potter saga.;;;;;;;
Journal : A scholarly periodical primarily devoted to the publication of original research papers. [Printed and electronic manifestations of the same journal are usually identified by separate print and electronic International Standard Serial Numbers (ISSN or eISSN, respectively), that identifies the journal as a whole, not to individual issues of it.];Journal : A scholarly periodical primarily devoted to the publication of original research papers. [Printed and electronic manifestations of the same journal are usually identified by separate print and electronic International Standard Serial Numbers (ISSN or eISSN, respectively), that identifies the journal as a whole, not to individual issues of it.];JFULL (journal/periodical - full) ;;; ”Periodical” √ (Thing > CreativeWork > CreativeWorkSeries > Periodical // Thing > Intangible > Series > CreativeWorkSeries > Periodical) —- A publication in any medium issued in successive parts bearing numerical or chronological designations and intended, such as a magazine, scholarly journal, or newspaper to continue indefinitely.;Journal. A scholarly publication consisting of articles that is published regularly throughout the year.;Text;
fabio:AcademicProceedings A document containing the programme and collected papers, or their abstracts, presented at an academic meeting.;Proceedings (Crossref conference proceedings?) Conference proceedings are often one of the first ways that researchers communicate new, innovative, and emergent research to their peers and the scholarly community. While this content type can be a precursor to a more formal peer-reviewed journal article, conference proceedings are critical to communicating new concepts that further enrich the research nexus.;CONF √ (conference proceeding);proceedings √ : Conference proceedings.;;;ConferenceProceeding: Collection of academic papers published in the context of an academic conference (proceedings);;"Clinical Conference: Work that consists of a conference of physicians on their observations of a patient at the bedside, regarding the physical state, laboratory and other diagnostic findings, clinical manifestations, results of current therapy, etc. A clinical conference usually ends with a confirmation or correction of clinical findings by a pathological diagnosis performed by a pathologist. ""Clinical conference"" is often referred to as a ""clinico-pathological conference.” Congress: Published record of the papers delivered at or issued on the occasion of individual congresses, symposia, and meetings; abstracts of papers delivered at such congresses; reports of the officers and delegates of such congresses; combinations of the foregoing; or proceedings of the conference of a society if they are not limited to matters of internal organization. Overall: A single citation covering papers or abstracts presented at a meeting. The publication type may be used for a single citation with or without the additional indexing or cataloging of individual papers. The individual papers, however, are not labeled OVERALL. Consensus Development Conference: Official statements of the findings or recommendations expressing the outcome of a meeting convened to evaluate current thought and research on a subject of interest.

Consensus Development Conference, NIH: Official statements of the finding or recommendations expressing the outcome from a conference sponsored by NIH."
fabio:Series : A sequence of expressions having certain characteristics in common that are formally identified together as a group.;Proceedings series;;;;;;;
fabio:Series (of some fabio:ReportDocument) ;Report series;;;;;;;Legal Case: Work consisting of collections of law reports or the published reports of decided cases and documents or filings related to those cases.
fabio:SpecificationDocument : The realization of a specification (a standard, a workflow, etc.), where a specification is : An explicit description of, or set of requirements to be satisfied by, a material, product, resource, service or standard.;Standard ;;;;;Standard. Something established by authority, custom, or general consent as a model, example, or point of reference;Text;
fabio:Series (of some fabio:SpecificationDocument) ;Standard series;;;;;;;
Journal issue : A particular published issue of a journal, one or more of which will constitute a volume of the journal.;Journal issue : A particular published issue of a journal, one or more of which will constitute a volume of the journal.;;;;"""PublicationIssue"" √ (Thing > CreativeWork > PublicationIssue)";;;
Journal volume : A particular published volume of a journal, comprising one or more journal issues.;Journal volume : A particular published volume of a journal, comprising one or more journal issues.;;;;PublicationVolume” √(Thing > CreativeWork > PublicationVolume) A part of a successively published publication such as a periodical or multi-volume work, often numbered. It may represent a time span, such as a year.;;;
data management plan : A structured document giving information about how data arising from a research project or other endeavour is to be manages, preserved and shared.;Fabio:dataManagementPlan : A structured document giving information about how data arising from a research project or other endeavour is to be manages, preserved and shared.;;;;;OutputManagementPlan A formal document that outlines how research outputs are to be handled both during a research project and after the project is completed. Includes data, software, and materials.;;
Preprint: The version of an author's original scholarly work, such as a research paper or a review, first submitted to publisher for publication. [Note: For that version resubmitted after peer-review and revision, use fabio:Postprint. For the final published version use fabio:DefinitiveVersion.];Fabio:Preprint: The version of an author's original scholarly work, such as a research paper or a review, first submitted to publisher for publication. [Note: For that version resubmitted after peer-review and revision, use fabio:Postprint. For the final published version use fabio:DefinitiveVersion.];;;;;Preprint. A version of a scholarly or scientific paper that precedes formal peer review and publication in a peer-reviewed scholarly or scientific journal;;Preprint: Scientific manuscript made available prior to PEER REVIEW.
work collection: A collection of works;fabio:work collection: A collection of works;;;;" ""Collection"" √ (Thing > CreativeWork > Collection)";"Collection: An aggregation of resources, which may encompass collections of one resourceType as well as those of mixed types. A collection is described as a group; its parts may also be separately described.";Collection;Collected Work: Work consisting of collections of previously published works.   Festschrift: Work consisting of a collection of essays or other writings contributed by students, teachers, colleagues, and associates to honor a person or institution, usually on the occasion of an anniversary celebration or other event of importance.
